,title,published,views,likes,comments,creator
0,Home Office Desk Tour (I moved to SF!),2023-08-04,15986,875,98,Tina Huang
1,How to Become a Speed Learner (with ChatGPT),2023-07-26,51412,3367,136,Tina Huang
2,sick of it.,2023-07-07,14889,801,43,Tina Huang
3,ChatGPT Prompts to Learn to Code Faster (and not get bored 🥱),2023-06-24,29888,1622,83,Tina Huang
4,No insurance in 🇺🇸,2023-06-14,14954,365,41,Tina Huang
5,When you need to study but also wanna watch anime 🥹,2023-06-04,7958,641,12,Tina Huang
6,🐙 Lonely Octopus Career Design Training,2023-05-13,18275,825,39,Tina Huang
7,How to Find Your Perfect Career (in the Age of AI & ChatGPT),2023-05-12,66595,3734,192,Tina Huang
8,Will AI Replace Programmers?,2023-04-01,196599,9114,1756,Tina Huang
9,Open Letter to Pause AI Development 👀,2023-03-29,17130,823,104,Tina Huang
10,My favourite thing about being a data scientist 👩‍💻,2023-03-12,26723,2049,33,Tina Huang
11,How to learn to code FAST using ChatGPT (it's a game changer seriously),2023-03-02,1838672,65943,1652,Tina Huang
12,How Your Environment Can Improve (Or Destroy) Your Life,2023-02-13,44975,2727,99,Tina Huang
13,Why You Will Pick the Wrong Career,2023-01-28,626788,32534,1109,Tina Huang
14,"64 self-help books, summarized in 1 sentence each.",2023-01-10,115729,6679,250,Tina Huang
15,How to Completely Transform Your Life in 6 Months (the butterfly effect 🦋),2023-01-01,878571,45148,641,Tina Huang
16,Self Study Traps to Avoid in 2023 (stop self-sabotaging!),2022-12-31,470874,25180,403,Tina Huang
17,Power From Adversity: how to harness negative emotions for motivation (very powerful!),2022-12-29,25235,1601,95,Tina Huang
18,Tech Layoffs: important lessons to recession proof yourself,2022-11-27,105048,4930,319,Tina Huang
19,How I Found My Perfect Career (advice for indecisive people and career changers),2022-11-01,336404,21910,647,Tina Huang
20,How to Get Over Fear of Failure (and stop procrastinating),2022-10-18,92738,5700,215,Tina Huang
21,For Anyone Going Through a Tough Time,2022-09-27,66137,3549,311,Tina Huang
22,Habits That Keep Me Sane (when life feels chaotic and uncertain),2022-09-16,46987,2443,169,Tina Huang
23,How to be Successful as an Introvert,2022-07-29,121923,6796,256,Tina Huang
24,Why You Should Study Less,2022-07-21,60112,3258,240,Tina Huang
25,In Defense of Hustle Culture,2022-07-10,67695,3306,403,Tina Huang
26,Why the best students are NOT the most successful,2022-06-27,136388,7537,475,Tina Huang
27,How to Make a Self Study Plan (that you don't give up halfway),2022-06-19,74413,4086,173,Tina Huang
